task_id,pred_label,pred_idx,prob_S1,prob_S2,prob_S3,prob_C1,prob_C2,prob_K1,prob_L1,prob_A1,prob_A2
00576224,C1,3,0.10925430804491043,0.23834489285945892,0.19211888313293457,0.2427683025598526,0.0604589618742466,0.033703748136758804,0.05914370343089104,0.007136955391615629,0.057070232927799225
007bbfb7,S2,1,0.10197298228740692,0.2661654055118561,0.18443359434604645,0.23456650972366333,0.05642396956682205,0.038962725549936295,0.055346980690956116,0.0065006655640900135,0.055627211928367615
009d5c81,S3,2,0.13632680475711823,0.11583586782217026,0.2685431241989136,0.2674066722393036,0.05964966118335724,0.008302239701151848,0.06176573783159256,0.0097094951197505,0.07246041297912598
00d62c1b,C1,3,0.1327763944864273,0.14997366070747375,0.22877565026283264,0.26539599895477295,0.06758979707956314,0.015912527218461037,0.06703833490610123,0.009229108691215515,0.063308484852314
00dbd492,C1,3,0.12606872618198395,0.16611617803573608,0.2271510660648346,0.25969043374061584,0.0641159787774086,0.017992714419960976,0.06525728106498718,0.009147721342742443,0.06445994228124619
017c7c7b,C1,3,0.13022814691066742,0.16481748223304749,0.21382881700992584,0.2619057595729828,0.0704445093870163,0.020423278212547302,0.06903327256441116,0.009157290682196617,0.06016147509217262
025d127b,C1,3,0.13415275514125824,0.13975419104099274,0.2386161834001541,0.26752784848213196,0.0659959688782692,0.01340947113931179,0.06616136431694031,0.009324943646788597,0.06505727767944336
03560426,C1,3,0.13438886404037476,0.14184604585170746,0.23432320356369019,0.2654372751712799,0.06755929440259933,0.01439388282597065,0.0677206963300705,0.00964305642992258,0.06468768417835236
045e512c,S3,2,0.1354253888130188,0.0721716582775116,0.3374444246292114,0.25048401951789856,0.045206744223833084,0.0026575399097055197,0.0484253466129303,0.010942362248897552,0.09724251180887222
0520fde7,C1,3,0.13350000977516174,0.15498597919940948,0.21301688253879547,0.2596828043460846,0.07436046749353409,0.020139023661613464,0.07363937795162201,0.010312379337847233,0.06036309525370598
05269061,C1,3,0.12551471590995789,0.17828519642353058,0.2121300846338272,0.2592928111553192,0.06751542538404465,0.02211923711001873,0.0663810521364212,0.008631362579762936,0.060130082070827484
05a7bcf2,S3,2,0.1301153302192688,0.05140376836061478,0.3817283809185028,0.21970610320568085,0.035280875861644745,0.0011331423884257674,0.03486157953739166,0.011691905558109283,0.13407890498638153
05f2a901,C1,3,0.1346156746149063,0.13698425889015198,0.24289798736572266,0.268026202917099,0.06486151367425919,0.012509364634752274,0.06497175246477127,0.009205078706145287,0.06592823565006256
0607ce86,S3,2,0.13642145693302155,0.08445423096418381,0.31844210624694824,0.2625753879547119,0.04718686267733574,0.0036373294424265623,0.05007432401180267,0.009429504163563251,0.08777881413698196
0692e18c,S2,1,0.09785863012075424,0.2832013666629791,0.1791486293077469,0.22876176238059998,0.05438316613435745,0.042444244027137756,0.05311727523803711,0.006151177920401096,0.054933756589889526
06df4c85,S3,2,0.1343349665403366,0.0828290581703186,0.32006901502609253,0.2573363184928894,0.0470522902905941,0.0036871517077088356,0.050199851393699646,0.010304546914994717,0.09418676793575287
070dd51e,S3,2,0.1314767748117447,0.06522036343812943,0.3616093397140503,0.25031760334968567,0.040909577161073685,0.0018526342464610934,0.04236872121691704,0.009229972027242184,0.09701501578092575
