epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_cell_accuracy,val_change_recall,val_copy_rate,val_grid_accuracy,val_loss,val_transformation_f1
,0.0018498849832733245,0,,,,,,,,
0,,9,,0.30218276381492615,,,,,,
0,,19,,0.3596196174621582,,,,,,
0,,29,,0.3251550793647766,,,,,,
0,,39,,0.3118196427822113,,,,,,
0,,49,,0.2753216326236725,,,,,,
0,,59,,0.3291034400463104,,,,,,
0,,69,,0.40473824739456177,,,,,,
0,,79,,0.2754741311073303,,,,,,
0,,89,,0.28099438548088074,,,,,,
0,,99,,0.34702399373054504,,,,,,
0,,100,,,0.8952900171279907,0.627129077911377,0.3443247079849243,0.002793296007439494,0.3274230360984802,0.3040429353713989
0,,100,0.3488759398460388,,,,,,,
,0.0017260788365087466,101,,,,,,,,
1,,109,,0.3603459596633911,,,,,,
1,,119,,0.33833688497543335,,,,,,
1,,129,,0.32048943638801575,,,,,,
1,,139,,0.32526808977127075,,,,,,
1,,149,,0.32111912965774536,,,,,,
1,,159,,0.2696076035499573,,,,,,
1,,169,,0.29160651564598083,,,,,,
1,,179,,0.236356720328331,,,,,,
1,,189,,0.26934486627578735,,,,,,
1,,199,,0.31058061122894287,,,,,,
1,,201,,,0.8952951431274414,0.6606022119522095,0.325581818819046,0.002793296007439494,0.32549113035202026,0.32268810272216797
1,,201,0.31215131282806396,,,,,,,
,0.0013878341532585902,202,,,,,,,,
2,,209,,0.26104918122291565,,,,,,
2,,219,,0.2483726292848587,,,,,,
2,,229,,0.2121572643518448,,,,,,
2,,239,,0.3595782220363617,,,,,,
2,,249,,0.2701094150543213,,,,,,
2,,259,,0.31732791662216187,,,,,,
2,,269,,0.29040098190307617,,,,,,
2,,279,,0.261353999376297,,,,,,
2,,289,,0.2413400411605835,,,,,,
2,,299,,0.32128599286079407,,,,,,
2,,302,,,0.8961203694343567,0.6768003106117249,0.31846264004707336,0.002793296007439494,0.3264669179916382,0.33124423027038574
