run,variant,tag,step,value
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,0,0.0018498849822208285
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,101,0.001726078800857067
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,202,0.0013878341997042298
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,303,0.0009257833007723093
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,404,0.00046373248915188015
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,505,0.00012548781523946673
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,606,0.0018498849822208285
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,707,0.001726078800857067
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,808,0.0013878341997042298
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,909,0.0009257833007723093
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,1010,0.00046373248915188015
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,1111,0.00012548781523946673
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,1212,0.0018498849822208285
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,1313,0.001726078800857067
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,1414,0.0013878341997042298
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,1515,0.0009257833007723093
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,1616,0.00046373248915188015
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,1717,0.00012548781523946673
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,1818,0.0018498849822208285
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,1919,0.001726078800857067
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,2020,0.0013878341997042298
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,2121,0.0009257833007723093
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,2222,0.00046373248915188015
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,2323,0.00012548781523946673
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,2424,0.0018498849822208285
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,2525,0.001726078800857067
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,2626,0.0013878341997042298
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,2727,0.0009257833007723093
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,2828,0.00046373248915188015
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,2929,0.00012548781523946673
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,3030,0.0018498849822208285
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,3131,0.001726078800857067
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,3232,0.0013878341997042298
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,3333,0.0009257833007723093
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,3434,0.00046373248915188015
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,3535,0.00012548781523946673
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,3636,0.0018498849822208285
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,3737,0.001726078800857067
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,3838,0.0013878341997042298
logs_arc_agi_2_run_1,exp2_champion_arc-agi-2_csv,lr-Adam,3939,0.0009257833007723093
