epoch,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_quality
0,0.00000000,0.06739177,0.20977098,0.87986725,0.01712662
0,0.00000000,0.68954433,0.28208873,0.56224732,0.15874517
1,0.00000000,0.71921038,0.29286875,0.58143468,0.17361247
2,0.00000000,0.71648965,0.29168641,0.56989865,0.17139461
3,0.00000000,0.72730204,0.29638698,0.58195129,0.17625722
4,0.00000000,0.72639513,0.29585208,0.57065440,0.17644920
5,0.00000000,0.72977085,0.29690966,0.57529303,0.17749694
6,0.00000000,0.71687257,0.29519212,0.58369751,0.16875339
7,0.00000000,0.72667728,0.29178818,0.58877395,0.17721698
8,0.00000000,0.72705012,0.29289466,0.59359584,0.17678690
9,0.00000000,0.72881356,0.30131178,0.56945712,0.17554809
10,0.00000000,0.72915617,0.29843770,0.57583213,0.17650826
11,0.00000000,0.72998247,0.29924354,0.57848416,0.17707990
12,0.00000000,0.72914609,0.28845842,0.61127513,0.18410480
13,0.00000000,0.72411778,0.29259124,0.60563271,0.17771636
14,0.00000000,0.72826941,0.28844239,0.59970364,0.18120976
15,0.00000000,0.73141337,0.29934933,0.58053575,0.17674575
16,0.00000000,0.73142345,0.29385718,0.59039260,0.17985358
17,0.00000000,0.73226990,0.29524059,0.58810971,0.17929628
18,0.00000000,0.72168927,0.29430788,0.58174796,0.17571454
19,0.00000000,0.72339225,0.29834845,0.58518333,0.17387021
20,0.00000000,0.73401318,0.30005738,0.57635411,0.17741768
21,0.00000000,0.73296519,0.29715644,0.59771318,0.18061354
22,0.00000000,0.72967009,0.29419414,0.59092264,0.17847930
23,0.00000000,0.73200790,0.30057162,0.57979460,0.17664171
24,0.00000000,0.72659667,0.29228739,0.59727211,0.17718525
25,0.00000000,0.72255588,0.29734804,0.56484011,0.16930163
26,0.00000000,0.72642536,0.29651596,0.58821754,0.17358892
27,0.00000000,0.73019408,0.29574883,0.58372699,0.17668530
28,0.00000000,0.73032508,0.29637260,0.58171514,0.17965412
29,0.00000000,0.73191721,0.29827998,0.58113912,0.17775795
30,0.00000000,0.72376509,0.29753511,0.58770220,0.17453189
31,0.00000000,0.72362401,0.29721004,0.58691515,0.17501093
32,0.00000000,0.73124206,0.29311116,0.59621073,0.18237089
33,0.00000000,0.72555876,0.29956338,0.58301229,0.17353511
34,0.00000000,0.73092968,0.29832141,0.59060198,0.17746583
35,0.00000000,0.73105061,0.29905461,0.58721325,0.17648810
36,0.00000000,0.72947863,0.28664536,0.60589502,0.18124195
37,0.00000000,0.72329148,0.29328362,0.59077754,0.17522440
38,0.00000000,0.73264274,0.29429502,0.58875320,0.18066601
39,0.00000000,0.73264274,0.29100496,0.60096781,0.18113652
40,0.00000000,0.73632076,0.29541281,0.59188787,0.18034806
41,0.00000000,0.73284427,0.29518735,0.58916014,0.17975211
42,0.00000000,0.72391624,0.29768313,0.58719647,0.17351017
43,0.00000000,0.73145368,0.29269219,0.59807050,0.17993001
44,0.00000000,0.72693928,0.29436279,0.58531408,0.17616893
45,0.00000000,0.73214898,0.29327451,0.60201244,0.18019557
46,0.00000000,0.73222959,0.29566459,0.59497797,0.17882373
47,0.00000000,0.73170560,0.29391688,0.59756795,0.17915990
48,0.00000000,0.72816865,0.29869349,0.58120823,0.17239234
49,0.00000000,0.72443016,0.28656021,0.60295121,0.17871272
50,0.00000000,0.72869264,0.28771038,0.60275272,0.17883902
51,0.00000000,0.73070799,0.28823365,0.60557124,0.18181231
52,0.00000000,0.73118160,0.28866642,0.59915716,0.18035207
53,0.00000000,0.73005300,0.28863003,0.60078543,0.18024046
54,0.00000000,0.72204196,0.29353673,0.59064251,0.17395531
55,0.00000000,0.72364417,0.29078623,0.59479009,0.17536021
56,0.00000000,0.72939801,0.28719141,0.60366822,0.18165627
57,0.00000000,0.72957939,0.29007615,0.60756488,0.17960727
58,0.00000000,0.73003285,0.28634583,0.60602479,0.18115815
