epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_cell_accuracy,val_change_recall,val_copy_rate,val_grid_accuracy,val_loss,val_transformation_f1
,0.0018498849832733245,0,,,,,,,,
0,,9,,1.7351902723312378,,,,,,
0,,19,,1.1847708225250244,,,,,,
0,,29,,1.5062087774276733,,,,,,
0,,39,,1.1854268312454224,,,,,,
0,,49,,0.9428837299346924,,,,,,
0,,59,,0.9793363213539124,,,,,,
0,,69,,1.0733946561813354,,,,,,
0,,79,,1.0133224725723267,,,,,,
0,,89,,0.9548614621162415,,,,,,
0,,99,,1.042493462562561,,,,,,
0,,100,,,0.7101032733917236,0.6052655577659607,0.28124043345451355,0.0,1.0014972686767578,0.27298977971076965
0,,100,1.2901514768600464,,,,,,,
,0.0017260788365087466,101,,,,,,,,
1,,109,,0.8032070994377136,,,,,,
1,,119,,0.9331637024879456,,,,,,
1,,129,,0.9001427292823792,,,,,,
1,,139,,0.8835132718086243,,,,,,
1,,149,,0.9618872404098511,,,,,,
1,,159,,0.7298539280891418,,,,,,
1,,169,,0.8446075320243835,,,,,,
1,,179,,0.5515567064285278,,,,,,
1,,189,,0.7887014150619507,,,,,,
1,,199,,0.8061447739601135,,,,,,
1,,201,,,0.7046048641204834,0.574890673160553,0.28568512201309204,0.0,0.9112153053283691,0.2612189054489136
1,,201,0.8975008130073547,,,,,,,
,0.0013878341532585902,202,,,,,,,,
2,,209,,0.7818499803543091,,,,,,
2,,219,,0.6676499843597412,,,,,,
2,,229,,0.7583990097045898,,,,,,
2,,239,,0.7809861898422241,,,,,,
2,,249,,0.8804013729095459,,,,,,
2,,259,,0.8211357593536377,,,,,,
2,,269,,0.7438743710517883,,,,,,
2,,279,,0.7707464098930359,,,,,,
2,,289,,0.8720541596412659,,,,,,
2,,299,,0.7712275981903076,,,,,,
2,,302,,,0.723630428314209,0.5856074690818787,0.286692351102829,0.0,0.8658769726753235,0.26798805594444275
2,,302,0.8405370712280273,,,,,,,
,0.0009257833232438556,303,,,,,,,,
3,,309,,0.7951112389564514,,,,,,
3,,319,,0.9280604124069214,,,,,,
3,,329,,0.7611952424049377,,,,,,
3,,339,,1.169240951538086,,,,,,
3,,349,,0.7122455835342407,,,,,,
3,,359,,0.876796305179596,,,,,,
3,,369,,1.155185341835022,,,,,,
3,,379,,0.6037919521331787,,,,,,
3,,389,,0.7732774615287781,,,,,,
3,,399,,0.7600850462913513,,,,,,
3,,403,,,0.7266764044761658,0.613564133644104,0.27598676085472107,0.0,0.8502904176712036,0.28203779458999634
3,,403,0.8121809959411621,,,,,,,
,0.0004637324932291214,404,,,,,,,,
4,,409,,1.0167348384857178,,,,,,
4,,419,,0.6591587066650391,,,,,,
4,,429,,0.6288412809371948,,,,,,
4,,439,,0.8049159049987793,,,,,,
4,,449,,0.792414665222168,,,,,,
4,,459,,0.5727863907814026,,,,,,
4,,469,,1.001186728477478,,,,,,
4,,479,,0.6136966943740845,,,,,,
4,,489,,0.8314582109451294,,,,,,
4,,499,,0.8151241540908813,,,,,,
4,,504,,,0.7261651158332825,0.606844425201416,0.2823100686073303,0.0,0.8327842950820923,0.2725526690483093
4,,504,0.7903883457183838,,,,,,,
,0.0001254878099789647,505,,,,,,,,
5,,509,,1.0672907829284668,,,,,,
5,,519,,0.8409656882286072,,,,,,
5,,529,,0.6511490345001221,,,,,,
5,,539,,0.8197576999664307,,,,,,
5,,549,,1.1477869749069214,,,,,,
5,,559,,0.692503809928894,,,,,,
5,,569,,0.8923003673553467,,,,,,
5,,579,,0.7554258108139038,,,,,,
5,,589,,0.6976190209388733,,,,,,
5,,599,,0.7987273931503296,,,,,,
5,,605,,,0.7314018607139587,0.5984697937965393,0.28416192531585693,0.0,0.8196672201156616,0.27256301045417786
5,,605,0.7725737690925598,,,,,,,
,0.0018498849832733245,606,,,,,,,,
6,,609,,0.5712209343910217,,,,,,
6,,619,,0.808097243309021,,,,,,
6,,629,,0.6576431393623352,,,,,,
6,,639,,0.9987680912017822,,,,,,
6,,649,,0.8191050291061401,,,,,,
6,,659,,0.7424913644790649,,,,,,
6,,669,,0.7000913619995117,,,,,,
6,,679,,0.7082858085632324,,,,,,
6,,689,,1.0240840911865234,,,,,,
6,,699,,0.6913398504257202,,,,,,
6,,706,,,0.7096831798553467,0.6085869669914246,0.2761091887950897,0.0,0.888873815536499,0.27434930205345154
6,,706,0.8057079315185547,,,,,,,
,0.0017260788365087466,707,,,,,,,,
7,,709,,0.7961097359657288,,,,,,
7,,719,,0.9170559048652649,,,,,,
7,,729,,0.7610528469085693,,,,,,
7,,739,,1.0513495206832886,,,,,,
7,,749,,0.7136266231536865,,,,,,
7,,759,,0.8142227530479431,,,,,,
7,,769,,0.6930815577507019,,,,,,
7,,779,,0.9750896692276001,,,,,,
7,,789,,0.8120187520980835,,,,,,
7,,799,,0.7605567574501038,,,,,,
7,,807,,,0.7275979518890381,0.6133413314819336,0.28619056940078735,0.0,0.8555081486701965,0.27581819891929626
7,,807,0.8051913976669312,,,,,,,
,0.0013878341532585902,808,,,,,,,,
8,,809,,0.8445147275924683,,,,,,
8,,819,,0.8487544655799866,,,,,,
8,,829,,0.6274347305297852,,,,,,
8,,839,,0.8026344776153564,,,,,,
8,,849,,0.6352125406265259,,,,,,
8,,859,,0.8074577450752258,,,,,,
8,,869,,0.8996588587760925,,,,,,
8,,879,,0.8684235215187073,,,,,,
8,,889,,0.7171658873558044,,,,,,
8,,899,,0.8900983333587646,,,,,,
8,,908,,,0.7338447570800781,0.6102321743965149,0.2839931845664978,0.0,0.8411734104156494,0.2759644389152527
8,,908,0.7907562851905823,,,,,,,
