epoch,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_quality
0,0.00000000,0.06341082,0.07311046,0.87298981,0.02045204
0,0.00000000,0.72379532,0.29753748,0.58161920,0.17349980
1,0.00000000,0.72930732,0.29500898,0.57587133,0.17568015
2,0.00000000,0.72300933,0.29489685,0.56378751,0.17256671
3,0.00000000,0.71698341,0.30224839,0.54928072,0.16441482
4,0.00000000,0.72313025,0.30378422,0.55437081,0.16849052
5,0.00000000,0.72705012,0.30576452,0.55203356,0.16900760
6,0.00000000,0.72629436,0.29385772,0.58412919,0.17707404
7,0.00000000,0.72726173,0.29606162,0.57921543,0.17492842
8,0.00000000,0.72327133,0.29281045,0.58154186,0.17351537
9,0.00000000,0.72365425,0.29480650,0.57624529,0.17534736
10,0.00000000,0.73124206,0.29717866,0.57039082,0.17730479
11,0.00000000,0.72899494,0.29700827,0.56882937,0.17630769
12,0.00000000,0.73043592,0.29276682,0.59269000,0.17973715
13,0.00000000,0.73562547,0.30016176,0.58050477,0.17838500
14,0.00000000,0.72264657,0.30207854,0.56112661,0.17000242
15,0.00000000,0.72479292,0.30230013,0.55456930,0.17063714
16,0.00000000,0.73015377,0.30207537,0.57700989,0.17467120
17,0.00000000,0.72888410,0.30174663,0.56709532,0.17402083
18,0.00000000,0.72059090,0.30146760,0.55735402,0.16735428
19,0.00000000,0.71476652,0.29171214,0.57784416,0.17258429
20,0.00000000,0.71643927,0.29896108,0.56780949,0.16553101
21,0.00000000,0.72180012,0.30753398,0.54385157,0.16749442
22,0.00000000,0.72620367,0.30049743,0.56448373,0.17488059
23,0.00000000,0.72579052,0.30082273,0.56621648,0.17365921
24,0.00000000,0.71722526,0.29018821,0.58616500,0.17423321
25,0.00000000,0.72129628,0.29212511,0.58133555,0.17210803
26,0.00000000,0.72831980,0.29931980,0.56953685,0.17500188
27,0.00000000,0.72294887,0.29954972,0.56489740,0.16975866
28,0.00000000,0.72570991,0.29670420,0.56638976,0.17275118
29,0.00000000,0.72805780,0.29620416,0.57030838,0.17435800
30,0.00000000,0.72963986,0.29387415,0.58336909,0.18063528
31,0.00000000,0.72373486,0.29152404,0.58421801,0.17791250
32,0.00000000,0.72360386,0.29869618,0.56716381,0.17091613
33,0.00000000,0.72405732,0.29560224,0.56867778,0.17407592
34,0.00000000,0.72842056,0.29502350,0.57687396,0.17524709
35,0.00000000,0.72696951,0.29360992,0.57545352,0.17486572
36,0.00000000,0.72749350,0.29406025,0.57874168,0.17682745
37,0.00000000,0.72218303,0.30081928,0.55784670,0.16922430
38,0.00000000,0.72553860,0.28744323,0.59113538,0.17964925
39,0.00000000,0.72736250,0.29267599,0.57633687,0.17613559
40,0.00000000,0.72745319,0.29332834,0.57685953,0.17510311
41,0.00000000,0.72931740,0.29505290,0.57495960,0.17483158
42,0.00000000,0.71035289,0.29600665,0.57117446,0.16501733
43,0.00000000,0.72106451,0.28955392,0.58380377,0.17414693
44,0.00000000,0.72573006,0.29904646,0.56960683,0.17381859
45,0.00000000,0.72208227,0.29801259,0.57340486,0.17284788
46,0.00000000,0.72765473,0.30050969,0.57022359,0.17295632
47,0.00000000,0.72551845,0.29688133,0.57636072,0.17457269
48,0.00000000,0.71794071,0.30387523,0.56318179,0.16627540
49,0.00000000,0.72651605,0.29608075,0.57336968,0.17405342
